monotonic_timestamp_us,phase,foreground_ops_completed,delete_ranges_issued,event_type,open_delta_size,sealed_run_count,hard_run_limit,input_run_ids,output_run_id,input_levels,output_level,input_chunks,output_chunk_count,input_tombstones,output_tombstone_count,merge_queue_wait_us,merge_wall_time_us,merge_cpu_time_us,pre_publish_hist,post_publish_hist,fallback_details
2978264710477,PHASE_B,100326,63,SEAL,0,1,32,"","1","","0","","1","","64",0,0,0,"{}","{L0:1}",""
2978264712637,PHASE_B,100642,127,SEAL,0,2,32,"","2","","0","","1","","64",0,0,0,"{L0:1}","{L0:2}",""
2978264712651,PHASE_B,100642,127,MERGE_SUBMIT,0,2,32,"","","","","","","","",0,0,0,"{L0:2}","{L0:2}",""
2978264712760,PHASE_B,100655,132,MERGE_START,0,2,32,"[1,2]","","[0,0]","","[1,1]","","[64,64]","",91,0,0,"{L0:2}","{L0:2}",""
2978264713124,PHASE_B,100716,141,MERGE_DONE,0,0,0,"","3","","1","","2","","128",91,380,379,"","",""
2978264713145,PHASE_B,100716,141,MERGE_PUBLISH,0,1,32,"","3","","1","","2","","128",91,400,399,"{L0:2}","{L1:1}",""
2978264715071,PHASE_B,100962,191,SEAL,0,2,32,"","4","","0","","1","","64",0,0,0,"{L1:1}","{L0:1, L1:1}",""
2978264717541,PHASE_B,101274,253,SEAL,0,3,32,"","5","","0","","1","","64",0,0,0,"{L0:1, L1:1}","{L0:2, L1:1}",""
2978264717555,PHASE_B,101274,253,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2978264717630,PHASE_B,101291,257,MERGE_START,0,3,32,"[4,5]","","[0,0]","","[1,1]","","[64,64]","",56,0,0,"{L0:2, L1:1}","{L0:2, L1:1}",""
2978264717956,PHASE_B,101352,268,MERGE_DONE,0,0,0,"","6","","1","","2","","128",56,346,344,"","",""
2978264717961,PHASE_B,101352,268,MERGE_PUBLISH,0,2,32,"","6","","1","","2","","128",56,350,349,"{L0:2, L1:1}","{L1:2}",""
2978264717970,PHASE_B,101352,268,MERGE_SUBMIT,12,2,32,"","","","","","","","",0,0,0,"{L1:2}","{L1:2}",""
2978264717992,PHASE_B,101352,268,MERGE_START,0,2,32,"[3,6]","","[1,1]","","[2,2]","","[128,128]","",25,0,0,"{L1:2}","{L1:2}",""
2978264718221,PHASE_B,101384,274,MERGE_DONE,0,0,0,"","7","","2","","4","","256",25,229,229,"","",""
2978264718225,PHASE_B,101384,274,MERGE_PUBLISH,0,1,32,"","7","","2","","4","","256",25,233,233,"{L1:2}","{L2:1}",""
2978264719950,PHASE_B,101597,318,SEAL,0,2,32,"","8","","0","","1","","64",0,0,0,"{L2:1}","{L0:1, L2:1}",""
2978264722229,PHASE_B,101911,381,SEAL,0,3,32,"","9","","0","","1","","64",0,0,0,"{L0:1, L2:1}","{L0:2, L2:1}",""
2978264722239,PHASE_B,101911,381,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2978264722253,PHASE_B,101911,381,MERGE_START,0,3,32,"[8,9]","","[0,0]","","[1,1]","","[64,64]","",10,0,0,"{L0:2, L2:1}","{L0:2, L2:1}",""
2978264722374,PHASE_B,101928,385,MERGE_DONE,0,0,0,"","10","","1","","2","","128",10,124,124,"","",""
2978264722378,PHASE_B,101928,385,MERGE_PUBLISH,0,2,32,"","10","","1","","2","","128",10,128,128,"{L0:2, L2:1}","{L1:1, L2:1}",""
2978264724750,PHASE_B,102242,446,SEAL,0,3,32,"","11","","0","","1","","64",0,0,0,"{L1:1, L2:1}","{L0:1, L1:1, L2:1}",""
2978264727250,PHASE_B,102561,511,SEAL,0,4,32,"","12","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2978264727265,PHASE_B,102561,511,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2978264727275,PHASE_B,102564,512,MERGE_START,0,4,32,"[11,12]","","[0,0]","","[1,1]","","[64,64]","",6,0,0,"{L0:2, L1:1, L2:1}","{L0:2, L1:1, L2:1}",""
2978264727352,PHASE_B,102574,514,MERGE_DONE,0,0,0,"","13","","1","","2","","128",6,82,82,"","",""
2978264727357,PHASE_B,102574,514,MERGE_PUBLISH,0,3,32,"","13","","1","","2","","128",6,86,85,"{L0:2, L1:1, L2:1}","{L1:2, L2:1}",""
2978264727361,PHASE_B,102575,514,MERGE_SUBMIT,2,3,32,"","","","","","","","",0,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2978264727379,PHASE_B,102579,515,MERGE_START,0,3,32,"[10,13]","","[1,1]","","[2,2]","","[128,128]","",18,0,0,"{L1:2, L2:1}","{L1:2, L2:1}",""
2978264727572,PHASE_B,102612,521,MERGE_DONE,0,0,0,"","14","","2","","4","","256",18,194,194,"","",""
2978264727575,PHASE_B,102612,521,MERGE_PUBLISH,0,2,32,"","14","","2","","4","","256",18,197,197,"{L1:2, L2:1}","{L2:2}",""
2978264727580,PHASE_B,102612,521,MERGE_SUBMIT,9,2,32,"","","","","","","","",0,0,0,"{L2:2}","{L2:2}",""
2978264727595,PHASE_B,102612,521,MERGE_START,0,2,32,"[7,14]","","[2,2]","","[4,4]","","[256,256]","",8,0,0,"{L2:2}","{L2:2}",""
2978264727996,PHASE_B,102664,532,MERGE_DONE,0,0,0,"","15","","3","","8","","512",8,408,404,"","",""
2978264728005,PHASE_B,102664,532,MERGE_PUBLISH,0,1,32,"","15","","3","","8","","512",8,413,408,"{L2:2}","{L3:1}",""
2978264729859,PHASE_B,102887,575,SEAL,0,2,32,"","16","","0","","1","","64",0,0,0,"{L3:1}","{L0:1, L3:1}",""
2978264732290,PHASE_B,103197,639,SEAL,0,3,32,"","17","","0","","1","","64",0,0,0,"{L0:1, L3:1}","{L0:2, L3:1}",""
2978264732301,PHASE_B,103197,639,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2978264732416,PHASE_B,103215,641,MERGE_START,0,3,32,"[16,17]","","[0,0]","","[1,1]","","[64,64]","",95,0,0,"{L0:2, L3:1}","{L0:2, L3:1}",""
2978264732675,PHASE_B,103254,649,MERGE_DONE,0,0,0,"","18","","1","","2","","128",95,278,276,"","",""
2978264732694,PHASE_B,103260,651,MERGE_PUBLISH,0,2,32,"","18","","1","","2","","128",95,296,289,"{L0:2, L3:1}","{L1:1, L3:1}",""
2978264734855,PHASE_B,103517,703,SEAL,0,3,32,"","19","","0","","1","","64",0,0,0,"{L1:1, L3:1}","{L0:1, L1:1, L3:1}",""
2978264737289,PHASE_B,103843,767,SEAL,0,4,32,"","20","","0","","1","","64",0,0,0,"{L0:1, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2978264737302,PHASE_B,103843,767,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2978264737379,PHASE_B,103849,768,MERGE_START,0,4,32,"[19,20]","","[0,0]","","[1,1]","","[64,64]","",69,0,0,"{L0:2, L1:1, L3:1}","{L0:2, L1:1, L3:1}",""
2978264737532,PHASE_B,103877,774,MERGE_DONE,0,0,0,"","21","","1","","2","","128",69,161,161,"","",""
2978264737540,PHASE_B,103882,775,MERGE_PUBLISH,0,3,32,"","21","","1","","2","","128",69,168,167,"{L0:2, L1:1, L3:1}","{L1:2, L3:1}",""
2978264737546,PHASE_B,103883,775,MERGE_SUBMIT,7,3,32,"","","","","","","","",0,0,0,"{L1:2, L3:1}","{L1:2, L3:1}",""
2978264737606,PHASE_B,103888,776,MERGE_START,0,3,32,"[18,21]","","[1,1]","","[2,2]","","[128,128]","",59,0,0,"{L1:2, L3:1}","{L1:2, L3:1}",""
2978264737890,PHASE_B,103921,785,MERGE_DONE,0,0,0,"","22","","2","","4","","256",59,286,286,"","",""
2978264737898,PHASE_B,103928,785,MERGE_PUBLISH,0,2,32,"","22","","2","","4","","256",59,293,293,"{L1:2, L3:1}","{L2:1, L3:1}",""
2978264739848,PHASE_B,104165,831,SEAL,0,3,32,"","23","","0","","1","","64",0,0,0,"{L2:1, L3:1}","{L0:1, L2:1, L3:1}",""
2978264742249,PHASE_B,104479,895,SEAL,0,4,32,"","24","","0","","1","","64",0,0,0,"{L0:1, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2978264742263,PHASE_B,104479,895,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2978264742375,PHASE_B,104495,898,MERGE_START,0,4,32,"[23,24]","","[0,0]","","[1,1]","","[64,64]","",91,0,0,"{L0:2, L2:1, L3:1}","{L0:2, L2:1, L3:1}",""
2978264742535,PHASE_B,104520,903,MERGE_DONE,0,0,0,"","25","","1","","2","","128",91,182,180,"","",""
2978264742540,PHASE_B,104520,903,MERGE_PUBLISH,0,3,32,"","25","","1","","2","","128",91,186,184,"{L0:2, L2:1, L3:1}","{L1:1, L2:1, L3:1}",""
2978264744720,PHASE_B,104799,959,SEAL,0,4,32,"","26","","0","","1","","64",0,0,0,"{L1:1, L2:1, L3:1}","{L0:1, L1:1, L2:1, L3:1}",""
2978264747049,PHASE_B,105118,1023,SEAL,0,5,32,"","27","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2978264747061,PHASE_B,105118,1023,MERGE_SUBMIT,0,5,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2978264747134,PHASE_B,105129,1025,MERGE_START,0,5,32,"[26,27]","","[0,0]","","[1,1]","","[64,64]","",64,0,0,"{L0:2, L1:1, L2:1, L3:1}","{L0:2, L1:1, L2:1, L3:1}",""
2978264747250,PHASE_B,105151,1029,MERGE_DONE,0,0,0,"","28","","1","","2","","128",64,125,124,"","",""
2978264747258,PHASE_B,105152,1029,MERGE_PUBLISH,0,4,32,"","28","","1","","2","","128",64,130,130,"{L0:2, L1:1, L2:1, L3:1}","{L1:2, L2:1, L3:1}",""
2978264747267,PHASE_B,105153,1029,MERGE_SUBMIT,5,4,32,"","","","","","","","",0,0,0,"{L1:2, L2:1, L3:1}","{L1:2, L2:1, L3:1}",""
2978264747340,PHASE_B,105158,1032,MERGE_START,0,4,32,"[25,28]","","[1,1]","","[2,2]","","[128,128]","",71,0,0,"{L1:2, L2:1, L3:1}","{L1:2, L2:1, L3:1}",""
2978264747492,PHASE_B,105184,1035,MERGE_DONE,0,0,0,"","29","","2","","4","","256",71,157,157,"","",""
2978264747504,PHASE_B,105187,1037,MERGE_PUBLISH,0,3,32,"","29","","2","","4","","256",71,169,165,"{L1:2, L2:1, L3:1}","{L2:2, L3:1}",""
2978264747509,PHASE_B,105189,1037,MERGE_SUBMIT,13,3,32,"","","","","","","","",0,0,0,"{L2:2, L3:1}","{L2:2, L3:1}",""
2978264747541,PHASE_B,105192,1037,MERGE_START,0,3,32,"[22,29]","","[2,2]","","[4,4]","","[256,256]","",32,0,0,"{L2:2, L3:1}","{L2:2, L3:1}",""
2978264748087,PHASE_B,105262,1050,MERGE_DONE,0,0,0,"","30","","3","","8","","512",32,545,546,"","",""
2978264748094,PHASE_B,105262,1050,MERGE_PUBLISH,0,2,32,"","30","","3","","8","","512",32,552,552,"{L2:2, L3:1}","{L3:2}",""
2978264748102,PHASE_B,105262,1050,MERGE_SUBMIT,29,2,32,"","","","","","","","",0,0,0,"{L3:2}","{L3:2}",""
2978264748133,PHASE_B,105270,1054,MERGE_START,0,2,32,"[15,30]","","[3,3]","","[8,8]","","[512,512]","",22,0,0,"{L3:2}","{L3:2}",""
2978264749369,PHASE_B,105428,1084,MERGE_DONE,0,0,0,"","31","","4","","16","","1024",22,1245,1244,"","",""
2978264749376,PHASE_B,105429,1084,MERGE_PUBLISH,0,1,32,"","31","","4","","16","","1024",22,1251,1251,"{L3:2}","{L4:1}",""
2978264749553,PHASE_B,105440,1086,SEAL,0,2,32,"","32","","0","","1","","64",0,0,0,"{L4:1}","{L0:1, L4:1}",""
2978264751932,PHASE_B,105763,1151,SEAL,0,3,32,"","33","","0","","1","","64",0,0,0,"{L0:1, L4:1}","{L0:2, L4:1}",""
2978264751946,PHASE_B,105763,1151,MERGE_SUBMIT,0,3,32,"","","","","","","","",0,0,0,"{L0:2, L4:1}","{L0:2, L4:1}",""
2978264752061,PHASE_B,105768,1152,MERGE_START,0,3,32,"[32,33]","","[0,0]","","[1,1]","","[64,64]","",95,0,0,"{L0:2, L4:1}","{L0:2, L4:1}",""
2978264752351,PHASE_B,105817,1163,MERGE_DONE,0,0,0,"","34","","1","","2","","128",95,307,307,"","",""
2978264752362,PHASE_B,105819,1163,MERGE_PUBLISH,0,2,32,"","34","","1","","2","","128",95,317,316,"{L0:2, L4:1}","{L1:1, L4:1}",""
2978264754426,PHASE_B,106081,1215,SEAL,0,3,32,"","35","","0","","1","","64",0,0,0,"{L1:1, L4:1}","{L0:1, L1:1, L4:1}",""
2978264756870,PHASE_B,106403,1279,SEAL,0,4,32,"","36","","0","","1","","64",0,0,0,"{L0:1, L1:1, L4:1}","{L0:2, L1:1, L4:1}",""
2978264756882,PHASE_B,106403,1279,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L4:1}","{L0:2, L1:1, L4:1}",""
2978264756990,PHASE_B,106421,1283,MERGE_START,0,4,32,"[35,36]","","[0,0]","","[1,1]","","[64,64]","",87,0,0,"{L0:2, L1:1, L4:1}","{L0:2, L1:1, L4:1}",""
2978264757311,PHASE_B,106469,1293,MERGE_DONE,0,0,0,"","37","","1","","2","","128",87,341,339,"","",""
2978264757329,PHASE_B,106472,1293,MERGE_PUBLISH,0,3,32,"","37","","1","","2","","128",87,357,356,"{L0:2, L1:1, L4:1}","{L1:2, L4:1}",""
2978264757338,PHASE_B,106472,1293,MERGE_SUBMIT,13,3,32,"","","","","","","","",0,0,0,"{L1:2, L4:1}","{L1:2, L4:1}",""
2978264757385,PHASE_B,106481,1294,MERGE_START,0,3,32,"[34,37]","","[1,1]","","[2,2]","","[128,128]","",47,0,0,"{L1:2, L4:1}","{L1:2, L4:1}",""
2978264757650,PHASE_B,106517,1302,MERGE_DONE,0,0,0,"","38","","2","","4","","256",47,268,268,"","",""
2978264757656,PHASE_B,106517,1302,MERGE_PUBLISH,0,2,32,"","38","","2","","4","","256",47,273,272,"{L1:2, L4:1}","{L2:1, L4:1}",""
2978264759317,PHASE_B,106726,1343,SEAL,0,3,32,"","39","","0","","1","","64",0,0,0,"{L2:1, L4:1}","{L0:1, L2:1, L4:1}",""
2978264761605,PHASE_B,107043,1407,SEAL,0,4,32,"","40","","0","","1","","64",0,0,0,"{L0:1, L2:1, L4:1}","{L0:2, L2:1, L4:1}",""
2978264761616,PHASE_B,107043,1407,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L2:1, L4:1}","{L0:2, L2:1, L4:1}",""
2978264761734,PHASE_B,107057,1411,MERGE_START,0,4,32,"[39,40]","","[0,0]","","[1,1]","","[64,64]","",92,0,0,"{L0:2, L2:1, L4:1}","{L0:2, L2:1, L4:1}",""
2978264761999,PHASE_B,107098,1419,MERGE_DONE,0,0,0,"","41","","1","","2","","128",92,288,287,"","",""
2978264762056,PHASE_B,107098,1419,MERGE_PUBLISH,0,3,32,"","41","","1","","2","","128",92,340,330,"{L0:2, L2:1, L4:1}","{L1:1, L2:1, L4:1}",""
2978264764110,PHASE_B,107355,1469,SEAL,0,4,32,"","42","","0","","1","","64",0,0,0,"{L1:1, L2:1, L4:1}","{L0:1, L1:1, L2:1, L4:1}",""
2978264766549,PHASE_B,107679,1535,SEAL,0,5,32,"","43","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1, L4:1}","{L0:2, L1:1, L2:1, L4:1}",""
2978264766560,PHASE_B,107679,1535,MERGE_SUBMIT,0,5,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1, L4:1}","{L0:2, L1:1, L2:1, L4:1}",""
2978264766643,PHASE_B,107688,1539,MERGE_START,0,5,32,"[42,43]","","[0,0]","","[1,1]","","[64,64]","",68,0,0,"{L0:2, L1:1, L2:1, L4:1}","{L0:2, L1:1, L2:1, L4:1}",""
2978264766857,PHASE_B,107733,1545,MERGE_DONE,0,0,0,"","44","","1","","2","","128",68,227,226,"","",""
2978264766869,PHASE_B,107733,1545,MERGE_PUBLISH,0,4,32,"","44","","1","","2","","128",68,236,235,"{L0:2, L1:1, L2:1, L4:1}","{L1:2, L2:1, L4:1}",""
2978264766887,PHASE_B,107733,1545,MERGE_SUBMIT,10,4,32,"","","","","","","","",0,0,0,"{L1:2, L2:1, L4:1}","{L1:2, L2:1, L4:1}",""
2978264766943,PHASE_B,107741,1547,MERGE_START,0,4,32,"[41,44]","","[1,1]","","[2,2]","","[128,128]","",56,0,0,"{L1:2, L2:1, L4:1}","{L1:2, L2:1, L4:1}",""
2978264767411,PHASE_B,107803,1560,MERGE_DONE,0,0,0,"","45","","2","","4","","256",56,470,470,"","",""
2978264767419,PHASE_B,107803,1560,MERGE_PUBLISH,0,3,32,"","45","","2","","4","","256",56,477,476,"{L1:2, L2:1, L4:1}","{L2:2, L4:1}",""
2978264767425,PHASE_B,107803,1560,MERGE_SUBMIT,25,3,32,"","","","","","","","",0,0,0,"{L2:2, L4:1}","{L2:2, L4:1}",""
2978264767485,PHASE_B,107822,1563,MERGE_START,0,3,32,"[38,45]","","[2,2]","","[4,4]","","[256,256]","",58,0,0,"{L2:2, L4:1}","{L2:2, L4:1}",""
2978264768359,PHASE_B,107929,1585,MERGE_DONE,0,0,0,"","46","","3","","8","","512",58,876,876,"","",""
2978264768386,PHASE_B,107934,1586,MERGE_PUBLISH,0,2,32,"","46","","3","","8","","512",58,901,891,"{L2:2, L4:1}","{L3:1, L4:1}",""
2978264768985,PHASE_B,107996,1597,SEAL,0,3,32,"","47","","0","","1","","64",0,0,0,"{L3:1, L4:1}","{L0:1, L3:1, L4:1}",""
2978264771320,PHASE_B,108320,1662,SEAL,0,4,32,"","48","","0","","1","","64",0,0,0,"{L0:1, L3:1, L4:1}","{L0:2, L3:1, L4:1}",""
2978264771331,PHASE_B,108320,1662,MERGE_SUBMIT,0,4,32,"","","","","","","","",0,0,0,"{L0:2, L3:1, L4:1}","{L0:2, L3:1, L4:1}",""
2978264771455,PHASE_B,108342,1667,MERGE_START,0,4,32,"[47,48]","","[0,0]","","[1,1]","","[64,64]","",103,0,0,"{L0:2, L3:1, L4:1}","{L0:2, L3:1, L4:1}",""
2978264771743,PHASE_B,108391,1677,MERGE_DONE,0,0,0,"","49","","1","","2","","128",103,305,305,"","",""
2978264771761,PHASE_B,108392,1677,MERGE_PUBLISH,0,3,32,"","49","","1","","2","","128",103,320,319,"{L0:2, L3:1, L4:1}","{L1:1, L3:1, L4:1}",""
2978264773749,PHASE_B,108644,1727,SEAL,0,4,32,"","50","","0","","1","","64",0,0,0,"{L1:1, L3:1, L4:1}","{L0:1, L1:1, L3:1, L4:1}",""
2978264776063,PHASE_B,108956,1789,SEAL,0,5,32,"","51","","0","","1","","64",0,0,0,"{L0:1, L1:1, L3:1, L4:1}","{L0:2, L1:1, L3:1, L4:1}",""
2978264776075,PHASE_B,108956,1789,MERGE_SUBMIT,0,5,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L3:1, L4:1}","{L0:2, L1:1, L3:1, L4:1}",""
2978264776121,PHASE_B,108956,1789,MERGE_START,0,5,32,"[50,51]","","[0,0]","","[1,1]","","[64,64]","",25,0,0,"{L0:2, L1:1, L3:1, L4:1}","{L0:2, L1:1, L3:1, L4:1}",""
2978264776470,PHASE_B,109017,1803,MERGE_DONE,0,0,0,"","52","","1","","2","","128",25,367,367,"","",""
2978264776486,PHASE_B,109017,1803,MERGE_PUBLISH,0,4,32,"","52","","1","","2","","128",25,378,377,"{L0:2, L1:1, L3:1, L4:1}","{L1:2, L3:1, L4:1}",""
2978264776502,PHASE_B,109017,1803,MERGE_SUBMIT,12,4,32,"","","","","","","","",0,0,0,"{L1:2, L3:1, L4:1}","{L1:2, L3:1, L4:1}",""
2978264776553,PHASE_B,109028,1806,MERGE_START,0,4,32,"[49,52]","","[1,1]","","[2,2]","","[128,128]","",34,0,0,"{L1:2, L3:1, L4:1}","{L1:2, L3:1, L4:1}",""
2978264777090,PHASE_B,109103,1819,MERGE_DONE,0,0,0,"","53","","2","","4","","256",34,556,555,"","",""
2978264777104,PHASE_B,109105,1821,MERGE_PUBLISH,0,3,32,"","53","","2","","4","","256",34,567,566,"{L1:2, L3:1, L4:1}","{L2:1, L3:1, L4:1}",""
2978264778536,PHASE_B,109270,1852,SEAL,0,4,32,"","54","","0","","1","","64",0,0,0,"{L2:1, L3:1, L4:1}","{L0:1, L2:1, L3:1, L4:1}",""
2978264780973,PHASE_B,109602,1918,SEAL,0,5,32,"","55","","0","","1","","64",0,0,0,"{L0:1, L2:1, L3:1, L4:1}","{L0:2, L2:1, L3:1, L4:1}",""
2978264780985,PHASE_B,109602,1918,MERGE_SUBMIT,0,5,32,"","","","","","","","",0,0,0,"{L0:2, L2:1, L3:1, L4:1}","{L0:2, L2:1, L3:1, L4:1}",""
2978264781095,PHASE_B,109612,1923,MERGE_START,0,5,32,"[54,55]","","[0,0]","","[1,1]","","[64,64]","",90,0,0,"{L0:2, L2:1, L3:1, L4:1}","{L0:2, L2:1, L3:1, L4:1}",""
2978264781367,PHASE_B,109667,1931,MERGE_DONE,0,0,0,"","56","","1","","2","","128",90,288,288,"","",""
2978264781409,PHASE_B,109669,1931,MERGE_PUBLISH,0,4,32,"","56","","1","","2","","128",90,326,311,"{L0:2, L2:1, L3:1, L4:1}","{L1:1, L2:1, L3:1, L4:1}",""
2978264783573,PHASE_B,109916,1982,SEAL,0,5,32,"","57","","0","","1","","64",0,0,0,"{L1:1, L2:1, L3:1, L4:1}","{L0:1, L1:1, L2:1, L3:1, L4:1}",""
2978264786258,PHASE_B,110245,2047,SEAL,0,6,32,"","58","","0","","1","","64",0,0,0,"{L0:1, L1:1, L2:1, L3:1, L4:1}","{L0:2, L1:1, L2:1, L3:1, L4:1}",""
2978264786271,PHASE_B,110245,2047,MERGE_SUBMIT,0,6,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L2:1, L3:1, L4:1}","{L0:2, L1:1, L2:1, L3:1, L4:1}",""
2978264786322,PHASE_B,110249,2048,MERGE_START,0,6,32,"[57,58]","","[0,0]","","[1,1]","","[64,64]","",29,0,0,"{L0:2, L1:1, L2:1, L3:1, L4:1}","{L0:2, L1:1, L2:1, L3:1, L4:1}",""
2978264786628,PHASE_B,110296,2057,MERGE_DONE,0,0,0,"","59","","1","","2","","128",29,324,324,"","",""
2978264786665,PHASE_B,110296,2057,MERGE_PUBLISH,0,5,32,"","59","","1","","2","","128",29,355,347,"{L0:2, L1:1, L2:1, L3:1, L4:1}","{L1:2, L2:1, L3:1, L4:1}",""
2978264786682,PHASE_B,110296,2057,MERGE_SUBMIT,12,5,32,"","","","","","","","",0,0,0,"{L1:2, L2:1, L3:1, L4:1}","{L1:2, L2:1, L3:1, L4:1}",""
2978264786744,PHASE_B,110314,2062,MERGE_START,0,5,32,"[56,59]","","[1,1]","","[2,2]","","[128,128]","",61,0,0,"{L1:2, L2:1, L3:1, L4:1}","{L1:2, L2:1, L3:1, L4:1}",""
2978264787264,PHASE_B,110390,2077,MERGE_DONE,0,0,0,"","60","","2","","4","","256",61,525,525,"","",""
2978264787278,PHASE_B,110391,2077,MERGE_PUBLISH,0,4,32,"","60","","2","","4","","256",61,534,534,"{L1:2, L2:1, L3:1, L4:1}","{L2:2, L3:1, L4:1}",""
2978264787288,PHASE_B,110391,2077,MERGE_SUBMIT,29,4,32,"","","","","","","","",0,0,0,"{L2:2, L3:1, L4:1}","{L2:2, L3:1, L4:1}",""
2978264787375,PHASE_B,110404,2080,MERGE_START,0,4,32,"[53,60]","","[2,2]","","[4,4]","","[256,256]","",75,0,0,"{L2:2, L3:1, L4:1}","{L2:2, L3:1, L4:1}",""
2978264788610,PHASE_B,110548,2109,MERGE_DONE,0,0,0,"","61","","3","","8","","512",75,1246,1245,"","",""
2978264788653,PHASE_B,110559,2110,MERGE_PUBLISH,0,3,32,"","61","","3","","8","","512",75,1286,1274,"{L2:2, L3:1, L4:1}","{L3:2, L4:1}",""
2978264788671,PHASE_B,110559,2110,MERGE_SUBMIT,62,3,32,"","","","","","","","",0,0,0,"{L3:2, L4:1}","{L3:2, L4:1}",""
2978264788695,PHASE_B,110559,2110,MERGE_START,0,3,32,"[46,61]","","[3,3]","","[8,8]","","[512,512]","",19,0,0,"{L3:2, L4:1}","{L3:2, L4:1}",""
2978264788779,PHASE_B,110559,2110,SEAL,0,4,32,"","62","","0","","1","","64",0,0,0,"{L3:2, L4:1}","{L0:1, L3:2, L4:1}",""
2978264791154,PHASE_B,110882,2175,SEAL,0,5,32,"","64","","0","","1","","64",0,0,0,"{L0:1, L3:2, L4:1}","{L0:2, L3:2, L4:1}",""
2978264791298,PHASE_B,110896,2177,MERGE_DONE,0,0,0,"","63","","4","","16","","1024",19,2608,2608,"","",""
2978264791315,PHASE_B,110896,2177,MERGE_PUBLISH,0,4,32,"","63","","4","","16","","1024",19,2621,2621,"{L0:2, L3:2, L4:1}","{L0:2, L4:2}",""
2978264791326,PHASE_B,110901,2182,MERGE_SUBMIT,5,4,32,"","","","","","","","",0,0,0,"{L0:2, L4:2}","{L0:2, L4:2}",""
2978264791429,PHASE_B,110930,2185,MERGE_START,0,4,32,"[62,64]","","[0,0]","","[1,1]","","[64,64]","",87,0,0,"{L0:2, L4:2}","{L0:2, L4:2}",""
2978264791719,PHASE_B,110971,2193,MERGE_DONE,0,0,0,"","65","","1","","2","","128",87,307,306,"","",""
2978264791733,PHASE_B,110972,2193,MERGE_PUBLISH,0,3,32,"","65","","1","","2","","128",87,319,317,"{L0:2, L4:2}","{L1:1, L4:2}",""
2978264791751,PHASE_B,110972,2193,MERGE_SUBMIT,17,3,32,"","","","","","","","",0,0,0,"{L1:1, L4:2}","{L1:1, L4:2}",""
2978264791772,PHASE_B,110978,2194,MERGE_START,0,3,32,"[31,63]","","[4,4]","","[16,16]","","[1024,1024]","",18,0,0,"{L1:1, L4:2}","{L1:1, L4:2}",""
2978264793637,PHASE_B,111204,2239,SEAL,0,4,32,"","67","","0","","1","","64",0,0,0,"{L1:1, L4:2}","{L0:1, L1:1, L4:2}",""
2978264796106,PHASE_B,111508,2300,SEAL,0,5,32,"","68","","0","","1","","64",0,0,0,"{L0:1, L1:1, L4:2}","{L0:2, L1:1, L4:2}",""
2978264797135,PHASE_B,111670,2334,MERGE_DONE,0,0,0,"","66","","5","","32","","2048",18,5367,5368,"","",""
2978264797161,PHASE_B,111677,2334,MERGE_PUBLISH,0,4,32,"","66","","5","","32","","2048",18,5389,5389,"{L0:2, L1:1, L4:2}","{L0:2, L1:1, L5:1}",""
2978264797175,PHASE_B,111680,2334,MERGE_SUBMIT,30,4,32,"","","","","","","","",0,0,0,"{L0:2, L1:1, L5:1}","{L0:2, L1:1, L5:1}",""
2978264797278,PHASE_B,111685,2336,MERGE_START,0,4,32,"[67,68]","","[0,0]","","[1,1]","","[64,64]","",85,0,0,"{L0:2, L1:1, L5:1}","{L0:2, L1:1, L5:1}",""
2978264797645,PHASE_B,111741,2347,MERGE_DONE,0,0,0,"","69","","1","","2","","128",85,385,385,"","",""
