exp_id,elapsed_sec,total_ops,overall_iops,put_count,put_p50_us,put_p95_us,put_p99_us,put_mean_us,get_aff_live_count,get_aff_live_p50_us,get_aff_live_p95_us,get_aff_live_p99_us,get_aff_live_mean_us,get_del_count,get_del_p50_us,get_del_p95_us,get_del_p99_us,get_del_mean_us,get_ctrl_count,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_ctrl_mean_us,scan_count,scan_ops_sec,scan_keys_sec,scan_avg_span,scan_avg_keys_returned,scan_p50_us,scan_p95_us,scan_p99_us,scan_mean_us,scan_us_per_key,del_range_count,del_range_p50_us,del_range_p95_us,del_range_p99_us,del_range_mean_us,tombstones_count,union_deleted_keys,union_coverage_ratio,overlap_factor,compaction_read_mb,compaction_write_mb,flush_write_mb,stall_micros,compaction_drop_keys,l0_files_final,pending_compact_mb,total_sst_mb,sample_verified_ok,sample_verified_notfound,full_scan_ok
p2_tombstone_short_fragmented_rep1,6.50228,200000,30758.4,9828,39.023,98.119,155.047,45.7469,49407,16.135,2072.37,2963.45,235.904,24877,7.622,2282.5,2981.99,249.268,72114,14.671,1162.46,2705.34,149.568,39808,6122.16,508203,99.9888,83.0104,201.319,2139.01,3134.65,373.278,4.49677,3966,92.485,157.213,240.768,91.7458,3966,156274,0.312548,1.26893,0,0,0,0,0,0,0,114.527,6911,3089,PASS
p2_tombstone_short_fragmented_rep2,6.50216,200000,30759,9828,39.45,105.157,156.533,42.6174,49308,16.663,2162.17,3045.36,244.921,24967,8.037,2384.97,3067.74,267.126,72123,14.731,1411.2,2768.69,154.369,39808,6122.27,508201,99.9888,83.0086,200.066,2244.4,3219.45,380.898,4.58866,3966,93.863,157.793,208.91,87.6266,3966,156274,0.312548,1.26893,0,0,0,0,0,0,0,114.527,6912,3088,PASS
p2_tombstone_short_fragmented_rep3,6.50211,200000,30759.3,9828,40.053,101.677,156.816,45.7005,49316,16.207,2164.65,3015.25,245.095,24958,7.736,2349.19,3056.36,259.808,72124,14.358,1348.01,2768.2,151.8,39808,6122.32,508060,99.9888,82.9849,194.23,2244.44,3199.48,375.214,4.52148,3966,93.252,160.52,236.121,91.2254,3966,156274,0.312548,1.26893,0,0,0,0,0,0,0,114.529,6909,3091,PASS
p2_tombstone_long_contiguous_rep1,19.0051,200000,10523.5,9828,52.807,139.573,238.292,63.8969,2131,11.083,1058.54,3663.2,174.834,105688,9.81,6735.15,13584.4,792.822,38579,21.307,4329.73,12564.8,572.31,39808,2094.59,58095.6,99.9888,27.736,172.244,6683.88,13834.5,959.938,34.6098,3966,121.725,218.622,325.926,124.578,3966,399982,0.799964,9.91053,0,0,0,0,0,0,0,114.527,1925,8075,PASS
p2_tombstone_long_contiguous_rep2,18.5056,200000,10807.6,9828,48.479,134.805,236.448,61.3775,2104,10.752,691.888,3744.02,178.9,105671,8.196,6062.21,13419.9,737.24,38623,18.087,3623.68,12493.7,525.259,39808,2151.14,59770.2,99.9888,27.7854,156.424,6092.66,13806.4,889.64,32.0183,3966,115.451,206.108,318.286,121.162,3966,399982,0.799964,9.91053,0,0,0,0,0,0,0,114.525,1928,8072,PASS
p2_tombstone_long_contiguous_rep3,18.5053,200000,10807.7,9828,45.257,120.961,204.995,48.9309,2168,8.878,484.616,4495.88,163.04,105701,7.545,5539.57,13097.1,649.998,38529,17.145,2831.03,11740.6,464.494,39808,2151.17,59746.7,99.9888,27.774,140.221,5399.38,13207.4,775.059,27.9059,3966,109.951,191.298,273.14,105.894,3966,399982,0.799964,9.91053,0,0,57.2743,0,0,0,0,114.529,1924,8076,PASS
p2_tombstone_short_overlapped_rep1,6.00171,200000,33323.8,9828,32.599,95.91,142.585,39.0741,49499,15.784,1976.86,2961.48,213.379,25047,7.574,2219.87,2980.62,226.464,71852,13.795,976.489,2660.87,135.746,39808,6632.77,550239,99.9888,82.9576,169.152,1963.75,3111.43,333.012,4.01424,3966,82.845,141.478,198.604,79.372,3966,156274,0.312548,1.26893,0,0,0,0,0,0,0,114.528,6912,3088,PASS
p2_tombstone_short_overlapped_rep2,6.00202,200000,33322.1,9828,28.616,92.46,141.225,39.7164,49090,15.104,1797.15,2874.3,191.006,24975,7.14,2066.91,2933.8,209.784,72333,12.483,900.752,2522.31,123.115,39808,6632.43,550569,99.9888,83.0117,158.844,1838.91,3003.47,308.899,3.72115,3966,78.774,144.979,214.363,78.535,3966,156274,0.312548,1.26893,0,0,0,0,0,0,0,114.527,6910,3090,PASS
p2_tombstone_short_overlapped_rep3,6.00187,200000,33323,9828,32.275,98.093,149.737,39.0673,49450,15.96,1953.87,2963.98,203.551,24969,7.759,2200.43,3005.64,220.432,71979,13.474,886.422,2712.56,129.982,39808,6632.6,550141,99.9888,82.945,166.92,1975.67,3119.43,321.783,3.87947,3966,86.083,160.812,237.416,82.8145,3966,156274,0.312548,1.26893,0,0,0,0,0,0,0,114.527,6913,3087,PASS
p2_tombstone_long_overlapped_rep1,18.5047,200000,10808,9828,45.393,125.694,205.326,52.5574,2140,9.68,554.134,4054.27,177.452,105646,7.892,5734.95,13023.3,661.463,38612,17.37,3047.64,12270.5,476.144,39808,2151.23,59720,99.9888,27.7609,149.369,5751.29,13369.7,824.017,29.6827,3966,111.554,198.646,279.739,112.765,3966,399982,0.799964,9.91053,0,0,0,0,0,0,0,114.532,1926,8074,PASS
p2_tombstone_long_overlapped_rep2,18.505,200000,10807.9,9828,48.995,133.353,215.766,58.9725,2131,11.372,1000.39,4381.03,214.763,105730,8.319,6275.4,12880.1,740.121,38536,18.858,3718.98,11798.5,517.985,39808,2151.2,59653.5,99.9888,27.7304,164.455,6350.86,13083.6,902.356,32.5404,3966,117.594,220.58,310.304,126.715,3966,399982,0.799964,9.91053,0,0,0,0,0,0,0,114.535,1929,8071,PASS
p2_tombstone_long_overlapped_rep3,18.5049,200000,10808,9828,50.356,142.518,242.456,63.1715,2112,12.281,1522.71,4507.23,220.471,105641,9.212,6478.27,13153.8,764.749,38644,20.33,3964.12,12203.9,544.55,39808,2151.22,59925,99.9888,27.8563,172.368,6506.97,13238.1,924.595,33.1916,3966,122.568,223.749,342.093,137.254,3966,399982,0.799964,9.91053,0,0,0,0,0,0,0,114.53,1925,8075,PASS
