exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
ls24_pilot_t0256,ls24_large_scale,1,0.044713,3000,1,1842,41.283,179.543,250.889,16,60.24,191.477,191.477,29,90.932,173.841,306.578,659,127.961,694.508,840.97,100,2.65912,148,16.462,80.45,148.627,316,37.49,95.306,296.655,3010,3010,1.00196,1,0,0,0,0,0,1,0,26312,1,0,0,0,0,797,6929,10.3158,0,315,26317.8
ls24_pilot_t0256,ls24_large_scale,2,0.0988227,6000,2,1756,42.631,188.782,2322.37,21,109.794,238.291,1440.46,40,48.621,137.151,195.802,722,127.702,734.984,2953.08,100,2.96195,141,15.619,95.129,309.476,314,37.664,76.204,110.894,2994,2994,1.00196,1,0,0,0,0,0,1,0,26312.1,1,0,0,0.0921402,0,1499,7368,16.9054,0,630,26317.9
ls24_pilot_t0256,ls24_large_scale,3,0.148483,9000,3,1765,40.766,182.241,295.052,13,45.982,127.552,127.552,34,41.159,156.182,160.711,742,139.105,708.237,2845.87,100,2.98604,145,16.22,59.633,236.882,300,40.798,93.301,228.119,2999,2999,1.00196,0,0,0,0,0,0,0,0,26312.2,1,0,0,0.0391865,0,2547,7484,25.3913,0,930,26317.9
ls24_pilot_t0256,ls24_large_scale,4,0.203554,12000,4,1694,39.958,192.329,312.969,14,37.295,153.79,153.79,41,26.091,177.989,210.874,822,149.059,741.824,2827.8,100,3.15327,150,17.441,69.186,89.412,289,38.97,85.606,110.624,3010,3010,1.00196,0,0,0,0,0,243.195,0,1,26312.2,1,0.96134,0,0.048892,0,3832,8296,31.5963,0,1218,26319
ls24_pilot_t0256,ls24_large_scale,5,0.253749,15000,5,1818,40.006,178.06,1408.69,20,40.555,204.67,204.67,34,29.413,170.934,173.673,701,151.171,692.321,2447.31,100,2.96761,131,17.671,73.968,254.431,296,38.325,83.357,110.725,3000,3000,1.00196,0,0,0,0,0,243.24,0,1,26312.2,1,3.96552,4,0.0452023,0,4103,8282,33.1288,0,1512,26323
ls24_pilot_t0256,ls24_large_scale,6,0.30508,18000,6,1715,39.984,191.225,1730.67,18,37.453,113.674,113.674,25,38.157,256.683,465.145,793,144.322,697.789,2326.7,100,2.7413,160,16.909,74.711,311.933,290,40.147,91.041,130.926,3001,3001,1.00196,1,0,0,0,0,243.286,1,1,26312.3,2,5.7913,6,0.0457296,0,5526,9256,37.3833,0,1802,26328.1
ls24_pilot_t0256,ls24_large_scale,7,0.356617,21000,7,1772,35.318,176.051,552.499,19,36.7,169.985,169.985,38,29.379,145.954,301.411,735,159.292,735.598,2649.13,100,3.04742,146,16.467,62.815,120.365,289,43.488,113.514,236.27,2999,2999,1.00196,1,0,0,0,0,243.335,1,1,26312.3,1,7.10538,7,0.0491829,0,5877,9335,38.634,0,2090,26336.2
ls24_pilot_t0256,ls24_large_scale,8,0.428536,24000,8,1749,46.573,195.918,2369.6,11,30.021,83.922,83.922,37,55.727,161.649,173.106,720,166.394,2325.98,4346.02,100,4.32964,154,19.566,94.866,319.199,326,45.019,101.503,158.172,2997,2997,1.00196,0,0,0,0,0,243.425,0,1,26312.4,1,13.9339,14.1833,0.0946522,0,6349,10873,36.8656,0,2419,26350.4
ls24_pilot_t0256,ls24_large_scale,9,0.480914,27000,9,1739,34.542,182.623,983.806,24,32.298,186.501,1676.33,32,46.432,169.559,237.806,776,150.444,683.665,2730.39,100,3.01435,150,16.736,76.119,119.383,284,42.416,108.79,151.612,3005,3005,1.00196,0,0,0,0,0,243.472,0,1,26312.5,1,9.24902,10,0.0468206,0,5881,10151,36.6829,0,2701,26359.5
ls24_pilot_t0256,ls24_large_scale,10,0.533674,30000,10,1734,37.463,176.964,274.065,24,58.921,170.325,242.549,26,27.151,134.15,165.453,763,155.602,756.463,2881.59,100,3.18679,158,18.631,72.289,88.315,283,40.274,83.475,130.468,2988,2988,1.00196,0,0,0,0,0,243.519,0,1,26312.5,1,10.2685,10,0.0476522,0,6635,10236,39.3278,100,2987,26369.5
ls24_pilot_t0256,ls24_large_scale,11,0.588834,33000,11,1744,41.316,185.632,279.954,16,25.676,202.046,202.046,32,29.385,202.225,209.121,736,165.326,770.629,3115.22,100,3.4557,160,16.899,61.145,190.904,311,41.57,104.468,176.653,2999,2999,1.00196,0,0,0,0,0,243.573,0,2,26312.6,1,9.78395,10,0.0540237,0,7310,9993,42.247,0,3298,26379.8
ls24_pilot_t0256,ls24_large_scale,12,0.650586,36000,12,1756,44.049,201.229,2259.47,23,25.977,177.97,274.572,43,31.762,141.205,177.631,747,166.709,768.072,3143.49,100,3.51141,148,19.545,75.615,141.169,291,43.585,112.658,269.874,3008,3008,0.00195312,1,0,0,0,0,243.615,1,1,26312.6,2,11.8717,12.19,0.0468187,0,6458,10545,37.9815,100,3588,26391.8
ls24_pilot_t0256,ls24_large_scale,13,0.704418,39000,13,1730,38.899,187.27,294.753,15,32.163,187.106,187.106,53,27.805,159.097,191.682,753,158.381,748.921,2970.12,100,3.28382,141,18.377,59.273,90.334,313,39.768,90.93,136.549,3005,3005,1.00196,1,0,0,0,0,243.663,1,1,26312.7,1,9.70255,9,0.0481672,0,6997,10015,41.1298,0,3899,26401.9
ls24_pilot_t0256,ls24_large_scale,14,0.767783,42000,14,1767,42.599,185.497,2230.13,17,33.207,2528.92,2528.92,30,31.133,150.96,192.489,747,170.319,788.778,2955.28,100,3.62526,144,19.788,75.715,211.538,285,43.66,93.678,165.836,2990,2990,1.00196,1,0,0,0,0,243.708,1,1,26312.7,1,11.8423,12,0.0907726,0,7784,10561,42.4312,0,4186,26414
ls24_pilot_t0256,ls24_large_scale,15,0.829946,45000,15,1756,40.946,188.507,2207.8,18,56.571,166.224,166.224,32,47.604,184.255,2549.64,730,167.511,836.326,3132.41,100,3.6763,170,18.637,110.655,433.243,298,41.137,101.808,148.238,3004,3004,1.00196,0,0,0,0,0,243.798,0,2,26312.8,1,11.9143,12.1804,0.0487814,0,7822,10463,42.7782,3,4484,26426
ls24_pilot_t0256,ls24_large_scale,16,0.893583,48000,16,1754,39.7,193.665,2061.62,15,41.585,2477.63,2477.63,34,30.312,1219.73,2383.5,754,150.336,878.643,3134.24,100,3.93293,137,16.394,71.629,100.496,309,41.932,82.071,123.614,3003,3003,1.00196,0,0,0,0,0,243.841,0,1,26312.8,1,12.0253,12.5975,0.0486431,0,6140,10695,36.4716,100,4792,26437.9
ls24_pilot_t0256,ls24_large_scale,17,0.945557,51000,17,1702,35.987,182.34,512.594,16,51.002,2213.02,2213.02,37,23.443,130.267,170.872,813,142.986,733.665,2799.64,100,2.87861,132,17.688,78.486,122.242,296,37.962,96.722,153.533,2996,2996,1.00196,0,0,0,0,0,243.883,0,1,26312.9,1,9.2025,9,0.0414982,0,6403,10363,38.1904,0,5088,26447.9
ls24_pilot_t0256,ls24_large_scale,18,1.10151,54000,18,1735,33.951,201.412,4183.51,19,30.133,145.583,145.583,49,20.739,168.802,6783.1,742,149.089,817.628,15906.9,100,6.58416,158,16.735,149.367,56581.9,301,43.058,155.087,43790.2,3004,3004,1.00196,1,0,0,0,0,243.929,1,1,26312.9,2,2.10875,4.48769,0.0468531,0,6617,8040,45.1457,0,5387,26451.5
ls24_pilot_t0256,ls24_large_scale,19,1.16504,57000,19,1734,41.902,191.101,2390.95,18,60.327,3501.76,3501.76,43,27.902,171.826,211.307,746,155.799,801.635,4098.71,100,3.6975,158,19.63,105.363,261.245,300,40.473,120.297,213.188,2999,2999,1.00196,1,0,0,0,0,243.973,1,1,26313.2,1,7.92043,7.17971,0.0475979,0,7618,9497,44.5107,0,5689,26459.3
ls24_pilot_t0256,ls24_large_scale,20,1.22006,60000,20,1767,36.974,183.86,1990.37,18,44,173.652,173.652,34,28.697,219.581,2095.41,742,148.603,718.302,2878.27,100,3.26776,134,18.091,95.146,129.076,309,43.395,103.755,240.836,3004,3004,1.00196,1,0,0,0,0,244.021,1,1,26313,1,9.6896,10,0.0905695,0,6148,9999,38.0752,0,5998,26468.8
ls24_pilot_t0256,ls24_large_scale,21,1.27594,63000,21,1733,34.787,182.977,874.802,21,27.86,158.357,181.334,36,23.184,139.579,190.278,783,149.556,766.118,2956.19,100,3.41048,156,16.823,81.423,180.28,270,39.161,112.771,177.836,2999,2999,1.00196,0,0,0,0,0,244.113,0,1,26313.1,1,10.0423,10,0.0503521,0,7613,10385,42.2991,0,6269,26478.8
ls24_pilot_t0256,ls24_large_scale,22,1.32765,66000,22,1759,38.236,176.005,291.195,13,95.255,182.232,182.232,29,26.014,124.363,131.914,729,152.12,738.519,2940.79,100,3.17484,157,15.77,80.271,119.709,319,41.392,118.451,306.047,3006,3006,1.00196,0,0,0,0,0,244.163,0,2,26313.2,1,9.7863,10,0.0502119,0,7888,9872,44.4144,0,6586,26488.9
ls24_pilot_t0256,ls24_large_scale,23,1.42046,69000,23,1721,45.984,217.407,2418.5,11,40.435,1849.1,1849.1,39,29.331,211.686,254.542,768,190.908,912.447,4246.04,100,4.43136,136,38.993,1173.77,2141.31,316,66.282,1874.68,2301.36,2991,2991,1.00196,0,0,0,0,0,244.203,0,1,26313.2,1,17.4396,18.1862,0.0444241,24350,7886,12155,39.3493,0,6904,26507.1
ls24_pilot_t0256,ls24_large_scale,24,1.54707,72000,24,1729,50.214,209.376,640.691,19,89.448,2278.23,2278.23,31,24.766,243.306,312.981,765,233.651,948.493,3156.27,100,3.96814,131,1080.03,3236.85,3976.83,324,855.615,3221.24,4548.74,2999,2999,1.00196,0,0,0,0,0,244.286,0,1,26313.3,2,24.0496,24,0.0836649,86267,7883,13902,36.1854,200,7228,26531.2
