exp_id,group_name,progress_pct_idx,elapsed_sec,completed_ops,progress_pct,get_ctrl_ops,get_ctrl_p50_us,get_ctrl_p95_us,get_ctrl_p99_us,get_aff_ops,get_aff_p50_us,get_aff_p95_us,get_aff_p99_us,get_del_ops,get_del_p50_us,get_del_p95_us,get_del_p99_us,scan_ops,scan_p50_us,scan_p95_us,scan_p99_us,scan_avg_keys,scan_us_per_key,put_ops,put_p50_us,put_p95_us,put_p99_us,del_range_ops,del_range_p50_us,del_range_p95_us,del_range_p99_us,total_ops_interval,instantaneous_iops,active_memtable_mb,immutable_memtable_count,memtable_flush_pending,l0_files,l1_files,l2_files,pending_compaction_mb,running_flushes,running_compactions,total_sst_mb,flush_range_del_reason_delta,compaction_read_mb_delta,compaction_write_mb_delta,flush_write_mb_delta,write_stall_micros_delta,block_cache_hits,block_cache_misses,block_cache_hit_rate,tombstones_dropped_delta,cumulative_range_deletions,db_dir_mb
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,1,0.0179918,2510,1,14,21.149,80.071,80.071,26,24.726,82.768,88.4,542,27.389,81.97,96.394,395,173.046,253.067,392.173,98.0684,1.81288,1339,16.73,58.041,118.656,203,39.266,91.624,129.527,2519,2519,1.00196,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,547,3386,13.908,0,202,131.171
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,2,0.0368845,5020,2,28,96.323,146.793,158.733,26,86.28,152.181,154.46,546,81.537,146.327,181.03,380,174.179,267.821,300.315,94.3632,1.83349,1334,14.605,47.719,71.032,195,36.946,69.034,101.624,2509,2509,2.00197,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,828,2901,22.2043,0,397,131.548
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,3,0.0591825,7530,3,8,102.99,192.726,192.726,28,117.852,197.587,223.27,539,122.839,212.008,286.092,408,200.174,311.031,354.544,93.0588,2.06353,1323,13.25,43.966,63.237,206,34.827,66.41,92.094,2512,2512,2.00197,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,1272,2582,33.0047,0,603,131.926
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,4,0.0834135,10040,4,19,146.638,321.569,321.569,23,171.85,287.615,311.191,546,150.168,263.854,298.67,384,216.655,355.737,400.565,86.7812,2.32976,1346,14.62,45.775,81.531,192,36.425,76.611,95.458,2510,2510,3.00198,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,1396,2172,39.1256,0,795,132.308
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,5,0.115642,12550,5,15,224.115,437.114,437.114,29,247.333,331.598,350.58,501,231.21,345.079,412.059,384,310.84,467.505,521.713,82.9557,3.33401,1366,16.792,57.983,87.657,207,42.6,90.354,114.763,2502,2502,3.00198,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,1553,1869,45.3828,0,1002,132.694
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,6,0.15749,15060,6,18,313.681,466.413,466.413,41,361.979,505.365,529.657,513,308.525,510.581,688.008,376,400.754,603.641,707.107,83.7793,4.23717,1359,19.54,62.585,85.323,201,46.834,88.724,115.068,2508,2508,3.00198,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,1755,1612,52.1236,0,1204,133.077
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,7,0.21157,17570,7,17,331.109,838.441,838.441,31,380.247,775.399,874.37,564,348.943,744.154,862.988,411,399.416,852.956,970.93,76.7883,5.26566,1307,22.972,71.132,97.168,185,57.076,100.915,199.279,2515,2515,4.00198,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2010,1534,56.7156,0,1388,133.449
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,8,0.286318,20080,8,12,296.127,2251.14,2251.14,23,453.664,1498.57,1501.51,543,416.08,1246.79,1517.34,448,460.653,1306.33,1580.76,75.8304,7.3111,1297,24.272,101.262,185.839,183,66.845,151.887,209.851,2506,2506,4.00198,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2190,1543,58.666,0,1571,133.819
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,9,0.392487,22590,9,9,9.837,1099.34,1099.34,30,385.811,1550.33,1552.45,581,445.966,1570.01,1691.5,410,650.954,1754.11,1960.36,69.1756,12.2311,1293,39.106,116.883,194.896,184,87.112,211.264,297.741,2507,2507,5.00199,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2153,1199,64.2303,0,1756,134.185
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,10,0.513068,25100,10,19,763.438,1850.62,1850.62,26,1347.33,1685.03,1694.37,567,715.372,1735.28,1979.17,376,772.401,1905.56,2068.16,71.6968,13.0347,1350,47.615,123.906,205.193,177,99.088,189.53,232.593,2515,2515,5.00199,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2233,914,70.9565,0,1933,134.567
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,11,0.650485,27610,11,12,705.479,1908.83,1908.83,26,1041.72,1979.52,1992.08,552,1001.31,1857.51,2006.81,431,991.594,2042.29,2231.05,69.4687,15.3471,1314,46.587,119.566,196.709,176,97.428,187.089,213.49,2511,2511,5.00199,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2493,1013,71.1067,0,2109,134.941
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,12,0.808764,30120,12,18,165.912,2130.62,2130.62,29,1673.54,1959.17,1963.7,562,1664.24,2061.51,2319.48,383,1767.2,2240.77,2388.11,63.3577,19.6508,1346,50.09,133.891,183.027,175,101.829,181.524,210.978,2513,2513,6.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2286,756,75.1479,0,2284,135.324
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,13,0.979437,32630,13,15,35.654,2062.87,2062.87,27,949.255,2231.23,2275.27,601,1778.28,2193.03,2304.34,382,1775.55,2407.52,2510.09,62.8351,20.83,1280,46.98,138.187,226.156,206,103.571,191.231,301.545,2511,2511,6.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2288,745,75.4369,0,2487,135.688
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,14,1.17581,35140,14,15,2169.37,2425.62,2425.62,27,2087.18,2389.86,2443.32,578,2034.47,2379,2548.52,408,2156.23,2562.98,2711.3,59.7059,24.2943,1270,52.634,142.379,256.422,203,110.431,207.909,259.418,2501,2501,6.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2465,658,78.9305,0,2693,136.049
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,15,1.38324,37650,15,16,2226.99,4239.76,4239.76,32,2264.48,3649.02,3707.28,548,2207.11,2742.99,3663.84,398,2347.76,2852.88,3746.71,58.3593,27.7207,1325,52.617,137.382,208.7,189,102.885,193.825,286.765,2508,2508,7.00201,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2514,480,83.9679,0,2882,136.425
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,16,1.59569,40160,16,14,2558.88,2778.14,2778.14,33,1945.5,2773.16,2781.26,574,2387.21,2781.91,2952.53,377,2519.7,2992.55,3182.24,55.0318,30.7817,1310,52.841,147.833,231.848,207,106.513,221.634,389.16,2515,2515,7.00201,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2386,440,84.4303,0,3089,136.798
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,17,1.84022,42670,17,17,2726.78,2906.92,2906.92,31,2436.59,2923.03,3092.21,566,2662.22,2965.35,3137.08,411,2749.71,3143.98,3248.8,54.163,33.7622,1284,47.848,132.849,206.898,206,102.345,179.389,212.969,2515,2515,7.00201,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2634,389,87.132,0,3294,137.166
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,18,2.10331,45180,18,15,2864.17,3225.65,3225.65,26,2915.75,3249.26,3300.65,542,2868.01,3337.82,3516.33,409,3031.88,3471.54,3719.63,51.6968,40.2984,1288,51.566,162.067,253.333,229,108.153,208.662,237.897,2509,2509,8.00201,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2610,362,87.8197,0,3522,137.532
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,19,2.39481,47690,19,14,3159.18,7678.82,7678.82,29,3115.41,3406.5,3498.29,601,3097.84,3565.96,3960.67,400,3205.72,3732.2,4135.08,52.0425,39.7756,1246,53.038,146.312,336.685,211,103.335,229.741,438.078,2501,2501,8.00201,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2583,369,87.5,0,3735,137.888
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,20,2.70147,50200,20,19,3377.94,3980.05,3980.05,29,3416.56,3668.33,3711.2,529,3388.37,3751.21,3856.31,396,3550.28,3990.18,4285.95,46.5152,52.7245,1315,52.265,139.197,252.407,223,100.92,200.159,266.183,2511,2511,9.00202,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2499,259,90.6091,0,3958,138.267
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,21,3.02193,52710,21,21,3635.59,3938.81,3960.96,28,3563.28,3825.72,3850.38,561,3585.66,3962.61,4074.37,385,3788.06,4145.87,4286.1,43.0831,60.2379,1310,52.882,143.385,257.449,216,108.603,234.544,275.688,2521,2521,9.00202,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2378,275,89.6344,0,4171,138.639
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,22,3.3298,55220,22,20,3516.96,4366.02,4366.02,34,3738.18,4207.56,4221.59,559,3780.16,4163.11,4254.99,414,3912.28,4384.38,4616.1,45.6715,51.3858,1271,55.357,151.86,230.318,200,110.467,230.67,349.863,2498,2498,10.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2669,250,91.4354,0,4373,139
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,23,3.67162,57730,23,21,4103.5,4478.26,4804.57,28,628.976,4416.39,4526.55,552,4021.79,4430.23,4573.38,397,4177.27,4601.44,4928.14,41.5642,65.9516,1300,54.496,148.215,226.396,217,103.482,218.487,312.059,2515,2515,10.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2537,175,93.5472,0,4590,139.37
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,24,4.0359,60240,24,16,461.598,4642.77,4642.77,26,4333.49,4636.28,4722.45,569,4317.13,4629.26,4807.78,412,4454.23,4810.44,4932.68,38.9563,73.0243,1286,54.412,149.719,239.103,205,104.293,212.473,298.809,2514,2514,10.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2597,202,92.7831,0,4794,139.738
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,25,4.37858,62750,25,16,4569.33,5447.65,5447.65,35,41.969,4894.85,4992.56,517,4503.4,5075.38,5367.39,396,4627.94,5236.6,5512.52,40.351,68.1267,1369,54.145,158.602,272.155,174,106.431,289.749,320.089,2507,2507,11.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2516,165,93.8456,0,4968,140.124
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,26,4.73897,65260,26,19,4853.97,5539.26,5539.26,28,4694.01,5725.36,5905.24,530,4706.67,5217.84,5796.04,404,4819.1,5412.52,5955.78,41.1708,69.3294,1359,55.593,143.136,240.436,180,107.148,209.964,282.58,2520,2520,11.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2598,175,93.6891,0,5147,140.51
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,27,5.1461,67770,27,17,5113.41,5450.93,5450.93,30,5072.81,5423.27,5600.02,528,5007.52,5411.95,5593.67,415,5174.48,5569.89,5779.4,37.7928,82.9008,1296,59.818,146.457,290.222,206,109.002,231.715,303.94,2492,2492,11.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2681,153,94.6013,0,5356,140.875
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,28,5.59128,70280,28,15,2462.46,5537.29,5537.29,26,5217.25,6764.49,9997.97,526,5209.04,7467.24,10208.9,415,5085.03,7712.81,10193.1,34.6988,99.7796,1361,60.457,189.147,322.507,199,126.726,284.165,334.643,2542,2542,12.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2608,168,93.9481,0,5553,141.262
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,29,6.08952,72790,29,13,37.78,5817.52,5817.52,26,5536.61,10435.2,10571.2,539,5534.48,10488.6,10765.9,390,5672.2,10724.1,11031.1,39.9692,99.0463,1329,65.127,203.408,287.494,191,134.799,263.383,337.232,2488,2488,12.002,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2567,122,95.463,0,5745,141.639
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,30,6.59602,75300,30,15,22.411,6323.5,6323.5,37,5790.52,10798.4,10845.6,516,5092.88,10695.8,11114.6,379,5701.29,11015,11351,31.2533,142.586,1348,57.91,202.829,315.345,211,122.394,291.463,361.286,2506,2506,13.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2377,115,95.3852,0,5955,142.023
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,31,7.0504,77810,31,11,138.611,6230.62,6230.62,30,1513.17,11166.5,11573,581,1690.88,9714.88,11538.5,400,1778.79,10965.2,11795,32.7525,103.486,1282,50.013,191.164,289.198,201,115.328,303.412,348.622,2505,2505,13.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2544,99,96.2543,0,6158,142.388
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,32,7.44381,80320,32,14,1569.06,6449.65,6449.65,31,844.464,11472,11529.2,573,1546.15,11320.3,12043.5,381,1670.55,11008.9,12201.3,30.2021,107.243,1301,46.556,192.828,305.736,209,115.686,275.941,366.811,2509,2509,13.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2503,119,95.4615,0,6367,142.759
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,33,8.01122,82830,33,12,4663.41,12491.9,12491.9,38,6547.98,7613.45,12632.8,584,6560.28,7905.53,12649.8,389,6776.75,11093,13018.5,35.5424,128.316,1290,62.255,243.037,388.647,209,140.037,354.03,385.746,2522,2522,14.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2587,101,96.2426,0,6574,143.126
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,34,8.65398,85340,34,16,7142.74,7335.63,7335.63,27,923.809,13076.2,13560.1,595,6674.21,13002.4,13304.2,385,6878.65,13312.5,13727.7,29.4961,175.83,1276,61.881,203.505,344.359,199,133.41,342.447,498.859,2498,2498,14.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2522,95,96.3699,0,6775,143.488
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,35,9.13902,87850,35,17,1820.27,8747.06,8747.06,26,5772.9,10445.1,13726.8,557,1891.15,7790.86,13266.2,376,2675.85,7927,13605.8,27.3936,148.936,1331,51.279,157.346,262.268,203,110.37,225.546,318.786,2510,2510,15.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2428,113,95.5529,0,6978,143.868
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,36,9.66103,90360,36,14,1918.88,13867.7,13867.7,26,1818.99,14033.4,14300.4,539,2011.24,9631.28,14054.2,420,4133.83,12666.5,14400.1,26.6071,169.651,1309,43.561,184.259,261.378,216,107.126,237.175,330.919,2524,2524,15.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2699,92,96.7037,0,7194,144.244
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,37,10.281,92870,37,18,6798.35,14544.8,14544.8,35,1904.1,11424.7,14323,567,5234.11,13977.1,14668.3,397,3309.88,14190.2,15042.7,27.0151,175.977,1250,53.554,178.937,330.059,228,118.182,295.385,424.781,2495,2495,15.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2605,97,96.4101,0,7422,144.602
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,38,10.975,95380,38,14,8172.04,8660.15,8660.15,34,8258.22,14924,15041,568,8013.38,10005,15250.4,404,8186.97,10143,15502.3,27.6337,194.73,1304,62.937,186.72,270.006,186,129.961,263.253,386.019,2510,2510,16.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2631,113,95.8819,0,7608,144.972
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,39,11.7047,97890,39,11,3627.79,8835.4,8835.4,26,8360.15,8920.73,16038.4,573,8453.72,14590.7,15974,419,8561.52,14451.8,16107.6,21.79,256.573,1295,63.793,207.809,287.642,190,128.624,253.755,304.425,2514,2514,16.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2635,89,96.7327,0,7798,145.339
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,40,12.3591,100400,40,24,2321.1,16037.8,16041.1,26,2548.14,13871.8,16503.8,548,4461.57,14726.4,16092.5,393,4128.09,15836.7,16553.3,26.1221,201.705,1304,47.379,166.535,277.978,209,110.885,253.8,341.527,2504,2504,16.0021,0,0,0,0,0,0,0,0,130.68,0,0,0,0,0,2551,71,97.2921,0,8007,145.711
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,41,12.6001,102910,41,17,37.696,16323.9,16323.9,28,59.844,9215.7,16529.3,584,51.523,9138.49,15739.1,413,190.182,9364.77,16447.4,22.7191,79.1621,1271,64.521,254.548,363.124,214,147.637,349.484,509.658,2527,2527,2.00197,1,0,0,0,0,0,1,0,130.68,0,0,0,0,0,2560,79,97.0064,0,8221,151.071
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,42,12.6417,105420,42,15,120.241,336.207,336.207,23,87.056,263.998,395.928,525,116.442,291.329,382.988,406,245.715,461.585,550.502,22.3498,11.0846,1321,57.499,228.617,332.535,212,124.654,307.079,390.42,2502,2502,2.00197,1,0,0,0,0,0,1,0,130.68,0,0,0,0,0,2559,69,97.3744,0,8433,152.441
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,43,12.6875,107930,43,11,27.652,432.063,432.063,31,159.338,426.187,500.53,568,172.547,468.281,593.879,369,273.241,626.746,811.919,18.2954,16.9725,1348,47.301,214.305,274.085,187,111.285,296.398,393.029,2514,2514,2.00197,0,0,0,0,0,0,0,0,137.865,0,0,0,7.1845,0,2203,205,91.4867,0,8618,138.963
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,44,12.7438,110440,44,16,120.429,790.58,790.58,18,419.727,524.699,524.699,507,176.772,696.871,859.197,442,417.093,784.481,1046.36,21.957,18.0994,1319,47.841,211.082,286.816,199,122.705,293.045,374.345,2501,2501,3.00198,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2782,544,83.644,0,8819,139.335
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,45,12.8104,112950,45,24,537.993,751.667,794.841,23,485.549,1162.19,1293.83,554,356.429,988.827,1181.26,393,413.738,1119.06,1396.22,22.1069,21.5695,1312,47.433,196.07,294.058,202,113.321,296.04,354.003,2508,2508,3.00198,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2630,313,89.3646,0,9021,139.706
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,46,12.8821,115460,46,21,725.174,1117.95,1186.72,23,195.53,846.787,906.498,576,189.691,926.868,1376.19,432,354.704,1198.32,1610.01,21.8634,23.4435,1289,46.134,182.051,281.864,179,120.048,267.45,334.295,2520,2520,3.00198,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2964,259,91.964,0,9199,140.072
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,47,12.9686,117970,47,12,876.288,996.31,996.31,21,574.059,1818.09,1918.95,532,449.127,1538.15,1732.82,394,580.496,1740.88,1977.59,21.2005,31.8674,1320,45.794,179.923,303.8,220,108.843,263.715,381.195,2499,2499,4.00198,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2683,184,93.5821,0,9419,140.446
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,48,13.0591,120480,48,21,263.376,1087.19,1151.54,29,190.27,1134.99,1251.24,573,236.336,1623.43,2032.95,399,385.427,1474.92,2290.61,20.5815,32.118,1296,48.417,176.549,259.017,196,119.829,264.008,356.109,2514,2514,4.00198,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2770,122,95.7815,0,9615,140.812
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,49,13.1647,122990,49,12,531.417,1246.73,1246.73,30,386.005,1837.19,2148.88,567,518.25,1448.74,2240.08,402,639.217,1655.29,2455.51,19.893,39.8885,1292,42.018,167.436,331.285,201,104.268,269.178,335.952,2504,2504,5.00199,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2808,113,96.1315,0,9817,141.185
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,50,13.279,125500,50,17,26.254,1530.44,1530.44,28,666.243,1595.97,2175.46,576,433.818,1601.8,1718.7,382,470.607,1818.06,2491.33,16.8429,50.3262,1334,53.455,216.669,318.598,187,127.334,338.583,382.317,2524,2524,5.00199,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2592,82,96.9334,0,10004,141.558
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,51,13.4114,128010,51,22,1518.66,1717.42,3053.42,26,1430.97,1675.8,1687.82,527,465.113,1813.81,2959.7,408,979.901,2253.51,3071.14,16.451,65.3828,1335,46.842,164.381,269.701,189,118.783,265.182,300.507,2507,2507,6.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2765,75,97.3592,0,10192,141.938
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,52,13.5415,130520,52,17,446.602,3176.81,3176.81,27,400.155,3374.66,3380.56,565,386.229,2225.03,3338.34,387,545.974,3043.19,3564.78,17.2093,60.4324,1331,49.092,170.5,265.152,180,107.742,262.507,372.158,2507,2507,6.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2655,58,97.8621,0,10371,142.318
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,53,13.7033,133030,53,21,1818.83,2560.14,3808.78,30,588.291,2187.46,2872.24,561,1468.81,2903.4,3698.86,369,801.946,3011.57,3852.24,17.7046,69.3889,1303,45.676,182.571,274.387,225,109.901,256.012,295.578,2509,2509,7.00201,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2498,39,98.4628,0,10597,142.689
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,54,13.8577,135540,54,19,316.553,2226.95,2226.95,28,439.931,2352.52,2386.45,540,517.344,2339.07,4008.38,393,629.577,2600.68,4137.15,15.4249,76.7609,1317,45.638,170.241,241.855,206,110.408,216.115,324.093,2503,2503,7.00201,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2573,42,98.3939,0,10804,143.062
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,55,14.0442,138050,55,19,2171.08,4346.85,4346.85,26,624.084,4380.05,4583.43,568,581.64,3992.49,4511.71,385,921.375,3057.26,4563.95,14.561,98.4114,1320,44.943,182.675,254.301,194,115.947,273.906,392.664,2512,2512,7.00201,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2577,33,98.7356,0,10997,143.439
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,56,14.2472,140560,56,14,2443.59,4574.06,4574.06,31,1953.45,2917.53,4918.78,573,737.365,3310.3,4759.32,409,987.043,3029.16,4975.98,15.3276,102.377,1288,46.146,167.052,254.683,199,106.784,272.102,331.248,2514,2514,8.00201,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2749,44,98.4246,0,11195,143.807
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,57,14.4716,143070,57,21,2647.76,4822.9,5340.58,30,389.657,3798.67,4812.67,577,1449.02,4174.85,5135.46,385,1491.61,4233.31,5378.39,15.4104,113.497,1281,48.274,172.968,261.591,212,112.369,207.474,291.919,2506,2506,8.00201,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2561,36,98.6138,0,11409,144.171
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,58,14.6927,145580,58,26,1110.93,3059.55,3196.03,22,814.691,3108.72,5023.44,572,841.776,3242.83,5495.76,391,1198.67,3329.26,5704.4,15.6957,110.684,1309,43.734,171.896,254.535,197,109.327,214.559,442.611,2517,2517,8.00201,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2598,37,98.5958,0,11606,144.545
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,59,14.9305,148090,59,15,796.38,3220.95,3220.95,28,2898.68,5876.76,5938.08,547,868.024,5740.62,5974.49,408,828.382,5625.37,6065.22,15.0417,113.089,1338,54.004,193.821,276.933,183,112.98,264.77,364.091,2519,2519,9.00202,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2720,28,98.9811,0,11788,144.927
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,60,15.2077,150600,60,8,3265.91,6463.78,6463.78,31,212.397,4343.04,5961.4,587,1824.14,5952.42,6345.76,399,1618.2,6282.52,6516.19,14.8772,139.9,1281,60.969,185.856,270.795,201,128.937,232.804,334.199,2507,2507,10.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2675,41,98.4904,0,11987,145.291
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,61,15.5467,153110,61,22,3460.99,3755.32,6600.44,29,3417.98,6426.95,6566.35,568,3459.47,6521.11,6714.68,406,3645.84,6753.92,6987.39,14.5197,183.394,1265,57.646,207.686,314.547,205,126.73,287.113,427.215,2495,2495,10.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2707,30,98.9039,0,12195,145.651
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,62,15.8309,155620,62,25,3764.77,6335.61,6880.54,31,2556.93,6994.37,7225.16,558,1486.54,4164.56,7107.66,398,1618.04,6918.62,7366.88,11.8543,184.439,1331,53.989,180.878,274.802,181,117.748,253.347,319.236,2524,2524,11.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2557,39,98.4977,0,12375,146.029
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,63,16.1557,158130,63,14,49.09,7588.71,7588.71,20,4021.35,7433.8,7433.8,539,3176.53,4779.38,7531.31,438,3845.41,5012,7667.74,13.6758,182.945,1313,60.705,203.272,323.5,174,131.499,358.962,441.483,2498,2498,11.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2868,29,98.999,0,12549,146.399
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,64,16.5247,160640,64,12,4260.7,4626.3,4626.3,28,4119.83,4384.87,4490.09,519,4065.78,7690.63,8084.37,405,4252.27,7795.18,8294.47,12.9309,235.099,1337,55.373,210.079,325.829,212,122.97,277.559,380.264,2513,2513,12.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2750,33,98.8142,0,12762,146.779
b1_cf_wb_016mb_r01,b1_natural_flush_counterfactual,65,16.9107,163150,65,17,4338.84,8420.11,8420.11,28,387.261,8171.75,8215.26,566,4167.35,8007.18,8396.77,395,4515.36,8475.72,8673.79,11.9924,263.734,1316,63.601,196.423,286.883,186,130.474,263.68,348.502,2508,2508,12.002,0,0,0,0,0,0,0,0,137.865,0,0,0,0,0,2633,29,98.9106,0,12947,147.153
